x,p,T
7.79,101325,300
7.8,101325,300
7.81,101325,300
7.82,101325,300
7.83,101325,300
7.84,101325,300
7.85,101325,300
7.86,101325,300
7.87,101325,300
7.88,101325,300
7.89,101325,300
7.9,101325,300
7.91,101325,300
7.92,101325,300
7.93,101325,300
7.94,101325,300
7.95,101325,300
7.96,101325,300
7.97,101325,300
7.98,101325,300
7.99,101325,300
8,101325,300
8.01,101325,300
8.02,101325,300
8.03,101325,300
8.04,101325,300
8.05,101325,300
8.06,101325,300
8.07,101325,300
8.08,101325,300
8.09,101325,300
8.1,101325,300
8.11,101325,300
8.12,101325,300
8.13,101325,300
8.14,101325,300
8.15,101325,300
8.16,101325,300
8.17,101325,300
8.18,101325,300
8.19,101325,300
8.2,101325,300
8.21,101325,300
8.22,101325,300
8.23,101325,300
8.24,101325,300
8.25,101325,300
8.26,101325,300
8.27,101325,300
8.28,101325,300
8.29,101325,300
8.3,101325,300
8.31,101325,300
8.32,101325,300
8.33,101325,300
8.34,101325,300
8.35,101325,300
8.36,101325,300
8.37,101325,300
8.38,101325,300
8.39,101325,300
8.4,101325,300
8.41,101325,300
8.42,101325,300
8.43,101325,300
8.44,101325,300
8.45,101325,300
8.46,101325,300
8.47,101325,300
8.48,101325,300
8.49,101325,300
8.5,101325,300
8.51,101325,300
8.52,101325,300
8.53,101325,300
8.54,101325,300
8.55,101325,300
8.56,101325,300
8.57,101325,300
8.58,101325,300
8.59,101325,300
8.6,101325,300
8.61,101325,300
8.62,101325,300
8.63,101325,300
8.64,101325,300
8.65,101325,300
8.66,101325,300
8.67,101325,300
8.68,101325,300
8.69,101325,300
8.7,101325,300
8.71,101325,300
8.72,101325,300
8.73,101325,300
8.74,101325,300
8.75,101325,300
8.76,101325,300
8.77,101325,300
8.78,101325,300
8.79,101325,300
8.8,101325,300
8.81,101325,300
8.82,101325,300
8.83,101325,300
8.84,101325,300
8.85,101325,300
8.86,101325,300
8.87,101325,300
8.88,101325,300
8.89,101325,300
8.9,101325,300
8.91,101325,300
8.92,101325,300
8.93,101325,300
8.94,101325,300
8.95,101325,300
8.96,101325,300
8.97,101325,300
8.98,101325,300
8.99,101325,300
9,101325,300
9.01,101325,300
9.02,101325,300
9.03,101325,300
9.04,101325,300
9.05,101325,300
9.06,101325,300
9.07,101325,300
9.08,101325,300
9.09,101325,300
9.1,101325,300
9.11,101325,300
9.12,101325,300
9.13,101325,300
9.14,101325,300
9.15,101325,300
9.16,101325,300
9.17,101325,300
9.18,101325,300
9.19,101325,300
9.2,101325,300
9.21,101325,300
9.22,101325,300
9.23,101325,300
9.24,101325,300
9.25,101325,300
9.26,101325,300
9.27,101325,300
9.28,101325,300
9.29,101325,300
9.3,101325,300
9.31,101325,300
9.32,101325,300
9.33,101325,300
9.34,101325,300
9.35,101325,300
9.36,101325,300
9.37,101325,300
9.38,101325,300
9.39,101325,300
9.4,101325,300
9.41,101325,300
9.42,101325,300
9.43,101325,300
9.44,101325,300
9.45,101325,300
9.46,101325,300
9.47,101325,300
9.48,101325,300
9.49,101325,300
9.5,101325,300
9.51,101325,300
9.52,101325,300
9.53,101325,300
9.54,101325,300
9.55,101325,300
9.56,101325,300
9.57,101325,300
9.58,101325,300
9.59,101325,300
9.6,101325,300
9.61,101325,300
9.62,101325,300
9.63,101325,300
9.64,101325,300
9.65,101325,300
9.66,101325,300
9.67,101325,300
9.68,101325,300
9.69,101325,300
9.7,101325,300
9.71,101325,300
9.72,101325,300
9.73,101325,300
9.74,101325,300
9.75,101325,300
9.76,101325,300
9.77,101325,300
9.78,101325,300
9.79,101325,300
9.8,101325,300
9.81,101325,300
9.82,101325,300
9.83,101325,300
9.84,101325,300
9.85,101325,300
9.86,101325,300
9.87,101325,300
9.88,101325,300
9.89,101325,300
9.9,101325,300
9.91,101325,300
9.92,101325,300
9.93,101325,300
9.94,101325,300
9.95,101325,300
9.96,101325,300
9.97,101325,300
9.98,101325,300
9.99,101325,300
10,101325,300
10.01,101325,300
10.02,101325,300
10.03,101325,300
10.04,101325,300
10.05,101325,300
10.06,101325,300
10.07,101325,300
10.08,101325,300
10.09,101325,300
10.1,101325,300
10.11,101325,300
10.12,101325,300
10.13,101325,300
10.14,101325,300
10.15,101325,300
10.16,101325,300
10.17,101325,300
10.18,101325,300
10.19,101325,300
10.2,101325,300
10.21,101325,300
10.22,101325,300
10.23,101325,300
10.24,101325,300
10.25,101325,300
10.26,101325,300
10.27,101325,300
10.28,101325,300
10.29,101325,300
10.3,101325,300
10.31,101325,300
10.32,101325,300
10.33,101325,300
10.34,101325,300
10.35,101325,300
10.36,101325,300
10.37,101325,300
10.38,101325,300
10.39,101325,300
10.4,101325,300
10.41,101325,300
10.42,101325,300
10.43,101325,300
10.44,101325,300
10.45,101325,300
10.46,101325,300
10.47,101325,300
10.48,101325,300
10.49,101325,300
10.5,101325,300
10.51,101325,300
10.52,101325,300
10.53,101325,300
10.54,101325,300
10.55,101325,300
10.56,101325,300
10.57,101325,300
10.58,101325,300
10.59,101325,300
10.6,101325,300
10.61,101325,300
10.62,101325,300
10.63,101325,300
10.64,101325,300
10.65,101325,300
10.66,101325,300
10.67,101325,300
10.68,101325,300
10.69,101325,300
10.7,101325,300
10.71,101325,300
10.72,101325,300
10.73,101325,300
10.74,101325,300
10.75,101325,300
10.76,101325,300
10.77,101325,300
10.78,101325,300
10.79,101325,300
10.8,101325,300
10.81,101325,300
10.82,101325,300
10.83,101325,300
10.84,101325,300
10.85,101325,300
10.86,101325,300
10.87,101325,300
10.88,101325,300
10.89,101325,300
10.9,101325,300
10.91,101325,300
10.92,101325,300
10.93,101325,300
10.94,101325,300
10.95,101325,300
10.96,101325,300
10.97,101325,300
10.98,101325,300
10.99,101325,300
11,101325,300
11.01,101325,300
11.02,101325,300
11.03,101325,300
11.04,101325,300
11.05,101325,300
11.06,101325,300
11.07,101325,300
11.08,101325,300
11.09,101325,300
11.1,101325,300
11.11,101325,300
11.12,101325,300
11.13,101325,300
11.14,101325,300
11.15,101325,300
11.16,101325,300
11.17,101325,300
11.18,101325,300
11.19,101325,300
11.2,101325,300
11.21,101325,300
11.22,101325,300
11.23,101325,300
11.24,101325,300
11.25,101325,300
11.26,101325,300
11.27,101325,300
11.28,101325,300
11.29,101325,300
11.3,101325,300
11.31,101325,300
11.32,101325,300
11.33,101325,300
11.34,101325,300
11.35,101325,300
11.36,101325,300
11.37,101325,300
11.38,101325,300
11.39,101325,300
11.4,101325,300
11.41,101325,300
11.42,101325,300
11.43,101325,300
11.44,101325,300
11.45,101325,300
11.46,101325,300
11.47,101325,300
11.48,101325,300
11.49,101325,300
11.5,101325,300
11.51,101325,300
11.52,101325,300
11.53,101325,300
11.54,101325,300
11.55,101325,300
11.56,101325,300
11.57,101325,300
11.58,101325,300
11.59,101325,300
11.6,101325,300
11.61,101325,300
11.62,101325,300
11.63,101325,300
11.64,101325,300
11.65,101325,300
11.66,101325,300
11.67,101325,300
11.68,101325,300
11.69,101325,300
11.7,101325,300
11.71,101325,300
11.72,101325,300
11.73,101325,300
11.74,101325,300
11.75,101325,300
11.76,101325,300
11.77,101325,300
11.78,101325,300
11.79,101325,300
11.8,101325,300
11.81,101325,300
11.82,101325,300
11.83,101325,300
11.84,101325,300
11.85,101325,300
11.86,101325,300
11.87,101325,300
11.88,101325,300
11.89,101325,300
11.9,101325,300
11.91,101325,300
11.92,101325,300
11.93,101325,300
11.94,101325,300
11.95,101325,300
11.96,101325,300
11.97,101325,300
11.98,101325,300
11.99,101325,300
12,101325,300
12.01,101325,300
12.02,101325,300
12.03,101325,300
12.04,101325,300
12.05,101325,300
12.06,101325,300
12.07,101325,300
12.08,101325,300
12.09,101325,300
12.1,101325,300
12.11,101325,300
12.12,101325,300
12.13,101325,300
12.14,101325,300
12.15,101325,300
12.16,101325,300
12.17,101325,300
12.18,101325,300
12.19,101325,300
12.2,101325,300
12.21,101325,300
12.22,101325,300
12.23,101325,300
12.24,101325,300
12.25,101325,300
12.26,101325,300
12.27,101325,300
12.28,101325,300
12.29,101325,300
12.3,101325,300
12.31,101325,300
12.32,101325,300
12.33,101325,300
12.34,101325,300
12.35,101325,300
12.36,101325,300
12.37,101325,300
12.38,101325,300
12.39,101325,300
12.4,101325,300
12.41,101325,300
12.42,101325,300
12.43,101325,300
12.44,101325,300
12.45,101325,300
12.46,101325,300
12.47,101325,300
12.48,101325,300
12.49,101325,300
12.5,101325,300
12.51,101325,300
12.52,101325,300
12.53,101325,300
12.54,101325,300
12.55,101325,300
12.56,101325,300
12.57,101325,300
12.58,101325,300
12.59,101325,300
12.6,101325,300
12.61,101325,300
12.62,101325,300
12.63,101325,300
12.64,101325,300
12.65,101325,300
12.66,101325,300
12.67,101325,300
12.68,101325,300
12.69,101325,300
12.7,101325,300
12.71,101325,300
12.72,101325,300
12.73,101325,300
12.74,101325,300
12.75,101325,300
12.76,101325,300
12.77,101325,300
12.78,101325,300
12.79,101325,300
12.8,101325,300
12.81,101325,300
12.82,101325,300
12.83,101325,300
12.84,101325,300
12.85,101325,300
12.86,101325,300
12.87,101325,300
12.88,101325,300
12.89,101325,300
12.9,101325,300
12.91,101325,300
12.92,101325,300
12.93,101325,300
12.94,101325,300
12.95,101325,300
12.96,101325,300
12.97,101325,300
12.98,101325,300
12.99,101325,300
13,101325,300
13.01,101325,300
13.02,101325,300
13.03,101325,300
13.04,101325,300
13.05,101325,300
13.06,101325,300
13.07,101325,300
13.08,101325,300
13.09,101325,300
13.1,101325,300
13.11,101325,300
13.12,101325,300
13.13,101325,300
13.14,101325,300
13.15,101325,300
13.16,101325,300
13.17,101325,300
13.18,101325,300
13.19,101325,300
13.2,101325,300
13.21,101325,300
13.22,101325,300
13.23,101325,300
13.24,101325,300
13.25,101325,300
13.26,101325,300
13.27,101325,300
13.28,101325,300
13.29,101325,300
13.3,101325,300
13.31,101325,300
13.32,101325,300
13.33,101325,300
13.34,101325,300
13.35,101325,300
13.36,101325,300
13.37,101325,300
13.38,101325,300
13.39,101325,300
13.4,101325,300
13.41,101325,300
13.42,101325,300
13.43,101325,300
13.44,101325,300
13.45,101325,300
13.46,101325,300
13.47,101325,300
13.48,101325,300
13.49,101325,300
13.5,101325,300
13.51,101325,300
13.52,101325,300
13.53,101325,300
13.54,101325,300
13.55,101325,300
13.56,101325,300
13.57,101325,300
13.58,101325,300
13.59,101325,300
13.6,101325,300
13.61,101325,300
13.62,101325,300
13.63,101325,300
13.64,101325,300
13.65,101325,300
13.66,101325,300
13.67,101325,300
13.68,101325,300
13.69,101325,300
13.7,101325,300
13.71,101325,300
13.72,101325,300
13.73,101325,300
13.74,101325,300
13.75,101325,300
13.76,101325,300
13.77,101325,300
13.78,101325,300
13.79,101325,300
13.8,101325,300
13.81,101325,300
13.82,101325,300
13.83,101325,300
13.84,101325,300
13.85,101325,300
13.86,101325,300
13.87,101325,300
13.88,101325,300
13.89,101325,300
13.9,101325,300
13.91,101325,300
13.92,101325,300
13.93,101325,300
13.94,101325,300
13.95,101325,300
13.96,101325,300
13.97,101325,300
13.98,101325,300
13.99,101325,300
14,101325,300
14.01,101325,300
14.02,101325,300
14.03,101325,300
14.04,101325,300
14.05,101325,300
14.06,101325,300
14.07,101325,300
14.08,101325,300
14.09,101325,300
14.1,101325,300
14.11,101325,300
14.12,101325,300
14.13,101325,300
14.14,101325,300
14.15,101325,300
14.16,101325,300
14.17,101325,300
14.18,101325,300
14.19,101325,300
14.2,101325,300
14.21,101325,300
14.22,101325,300
14.23,101325,300
14.24,101325,300
14.25,101325,300
14.26,101325,300
14.27,101325,300
14.28,101325,300
14.29,101325,300
14.3,101325,300
14.31,101325,300
14.32,101325,300
14.33,101325,300
14.34,101325,300
14.35,101325,300
14.36,101325,300
14.37,101325,300
14.38,101325,300
14.39,101325,300
14.4,101325,300
14.41,101325,300
14.42,101325,300
14.43,101325,300
14.44,101325,300
14.45,101325,300
14.46,101325,300
14.47,101325,300
14.48,101325,300
14.49,101325,300
14.5,101325,300
14.51,101325,300
14.52,101325,300
14.53,101325,300
14.54,101325,300
14.55,101325,300
14.56,101325,300
14.57,101325,300
14.58,101325,300
14.59,101325,300
14.6,101325,300
14.61,101325,300
14.62,101325,300
14.63,101325,300
14.64,101325,300
14.65,101325,300
14.66,101325,300
14.67,101325,300
14.68,101325,300
14.69,101325,300
14.7,101325,300
14.71,101325,300
14.72,101325,300
14.73,101325,300
14.74,101325,300
14.75,101325,300
14.76,101325,300
14.77,101325,300
14.78,101325,300
14.79,101325,300
14.8,101325,300
14.81,101325,300
14.82,101325,300
14.83,101325,300
14.84,101325,300
14.85,101325,300
14.86,101325,300
14.87,101325,300
14.88,101325,300
14.89,101325,300
14.9,101325,300
14.91,101325,300
14.92,101325,300
14.93,101325,300
14.94,101325,300
14.95,101325,300
14.96,101325,300
14.97,101325,300
14.98,101325,300
14.99,101325,300
15,101325,300
15.01,101325,300
15.02,101325,300
15.03,101325,300
15.04,101325,300
15.05,101325,300
15.06,101325,300
15.07,101325,300
15.08,101325,300
15.09,101325,300
15.1,101325,300
15.11,101325,300
15.12,101325,300
15.13,101325,300
15.14,101325,300
15.15,101325,300
15.16,101325,300
15.17,101325,300
15.18,101325,300
15.19,101325,300
15.2,101325,300
15.21,101325,300
15.22,101325,300
15.23,101325,300
15.24,101325,300
15.25,101325,300
15.26,101325,300
15.27,101325,300
15.28,101325,300
15.29,101325,300
15.3,101325,300
15.31,101325,300
15.32,101325,300
15.33,101325,300
15.34,101325,300
15.35,101325,300
15.36,101325,300
15.37,101325,300
15.38,101325,300
15.39,101325,300
15.4,101325,300
15.41,101325,300
15.42,101325,300
15.43,101325,300
15.44,101325,300
15.45,101325,300
15.46,101325,300
15.47,101325,300
15.48,101325,300
15.49,101325,300
15.5,101325,300
15.51,101325,300
15.52,101325,300
15.53,101325,300
15.54,101325,300
15.55,101325,300
15.56,101325,300
15.57,101325,300
15.58,101325,300
15.59,101325,300
15.6,101325,300
15.61,101325,300
15.62,101325,300
15.63,101325,300
15.64,101325,300
15.65,101325,300
15.66,101325,300
15.67,101325,300
15.68,101325,300
15.69,101325,300
15.7,101325,300
15.71,101325,300
15.72,101325,300
15.73,101325,300
15.74,101325,300
15.75,101325,300
15.76,101325,300
15.77,101325,300
15.78,101325,300
15.79,101325,300
15.8,101325,300
15.81,101325,300
15.82,101325,300
15.83,101325,300
15.84,101325,300
15.85,101325,300
15.86,101325,300
15.87,101325,300
15.88,101325,300
15.89,101325,300
15.9,101325,300
15.91,101325,300
15.92,101325,300
15.93,101325,300
15.94,101325,300
15.95,101325,300
15.96,101325,300
15.97,101325,300
15.98,101325,300
15.99,101325,300
16,101325,300
16.01,101325,300
16.02,101325,300
16.03,101325,300
16.04,101325,300
16.05,101325,300
16.06,101325,300
16.07,101325,300
16.08,101325,300
16.09,101325,300
16.1,101325,300
16.11,101325,300
16.12,101325,300
16.13,101325,300
16.14,101325,300
16.15,101325,300
16.16,101325,300
16.17,101325,300
16.18,101325,300
16.19,101325,300
16.2,101325,300
16.21,101325,300
16.22,101325,300
16.23,101325,300
16.24,101325,300
16.25,101325,300
16.26,101325,300
16.27,101325,300
16.28,101325,300
16.29,101325,300
16.3,101325,300
16.31,101325,300
16.32,101325,300
16.33,101325,300
16.34,101325,300
16.35,101325,300
16.36,101325,300
16.37,101325,300
16.38,101325,300
16.39,101325,300
16.4,101325,300
16.41,101325,300
16.42,101325,300
16.43,101325,300
16.44,101325,300
16.45,101325,300
16.46,101325,300
16.47,101325,300
16.48,101325,300
16.49,101325,300
16.5,101325,300
16.51,101325,300
16.52,101325,300
16.53,101325,300
16.54,101325,300
16.55,101325,300
16.56,101325,300
